"tourney_name","match_id","surface","name","hand","rank","round","ace","df","svpt","FirstIn","FirstWon","SecondWon","SvGms","bpSaved","bpFaced","winner","diff_ace","diff_df","diff_svpt","diff_1stIn","diff_1stWon","diff_2ndWon","diff_SvGms","diff_bpSaved","diff_bpFaced"
"Kitzbuhel","2015-319:23","Clay","Federico Delbonis","L",-0.157519398478988,"QF",-0.469277583149708,0.811579188441971,-0.351591685198905,-0.356033323592828,-0.655776219215758,-0.439942965511505,-0.13283168399001,-0.324442697227697,0.336746279527139,0,-0.142105046338174,0.299832226648624,-1.08402221591721,0.371671256625127,0.0127388105037016,-0.811458700970787,0.00138233831264201,-0.483545135321151,-0.349419533892064
"Australian Open","2015-580:8","Hard","Dominic Thiem","R",-0.316552524163231,"R128",0.985778067748443,1.21891799210895,1.96639255239924,0.960948632873514,1.07183730168841,1.98781801816054,1.5760299803139,0.319544216645497,0.568207995535336,0,0.523738018873798,-0.0267155371314312,-2.08919519887896,-4.99282537726897,-3.54770857248365,1.13046194960457,-1.36160323795238,-3.67898157347883,-2.25575970722875
"Roland Garros","2015-520:119","Clay","Gilles Simon","R",-0.464617848076147,"R16",-0.630950433249503,1.62625679577593,0.254650346172917,-0.630404564523316,-0.871727909328779,0.98815173076617,-0.13283168399001,3.21748532907487,3.1142868716255,0,-0.275273659380568,0.952927754208735,0.495535328736976,0.28074758486421,-0.461987507227945,-0.649631980089507,-1.36160323795238,2.95769410577173,2.94334985641675
"Barcelona","2015-425:41","Clay","Roberto Bautista Agut","R",-0.448166145419156,"QF",-0.792623283349297,0.40424038477499,0.0050212744315786,0.0280864137098551,-0.367840632398396,-0.582752435139272,-0.13283168399001,0.96353113051869,1.03113142755173,0,-0.408442272422962,1.27947551798879,1.35711217127562,1.2809079742343,0.250101969369525,-0.973285421852067,0.00138233831264201,1.4828772881605,1.55692063944462
"Indian Wells Masters","2015-404:82","Hard","Bernard Tomic","R",-0.343972028591549,"R16",0.17741381724947,-0.817776026225951,0.967876265433884,1.67431385929278,1.28778899180143,-0.15432402625597,0.599537600711665,1.28552458745529,0.799669711543533,1,-0.275273659380568,-0.0267155371314312,1.35711217127562,2.55383937888713,1.67428092256446,-0.325978538326946,0.00138233831264201,1.23707448522529,0.690402378837036
"Davis Cup G2 R2: VEN vs ESA","2015-D040:4","Hard","Rafael Arevalo","U",0.281192672374096,"RR",0.500759517449059,-0.817776026225951,-0.993495012533775,-0.465781819965023,0.567950024758029,-0.582752435139272,-0.865200968691684,0.641537673582094,-1.28348573253024,0,-0.00893643329577934,-1.0063588284716,-2.0173971286674,-1.26495483507138,0.368783548802436,0.321328345198174,-1.36160323795238,0.991271682290086,-0.349419533892064
"Kitzbuhel","2015-319:2","Clay","Albert Montanes","R",0.0453849342905634,"R32",0.0157409671496757,-0.00309841889199019,-0.315930389235856,-0.630404564523316,-0.439824529102737,0.131294912999565,-0.376954778890568,0.319544216645497,0.105284563518942,1,0.523738018873798,-0.0267155371314312,0.208343047890761,-0.628489132744958,0.0127388105037016,0.806808507842014,0.00138233831264201,0.74546887935488,0.343795074594003
"Canada Masters","2015-421:11","Hard","Leonardo Mayer","R",-0.349455929477212,"R64",-0.307604733049913,-0.00309841889199019,-0.494236869051098,-0.410907571778925,-0.295856735694056,-0.439942965511505,-0.621077873791126,-0.324442697227697,-0.589100584505649,1,0.124232179746615,-0.0267155371314312,0.998121820217851,0.462594928386044,0.724828287101171,0.968635228723294,1.36436791457767,0.74546887935488,0.170491422472486
"Stockholm","2015-429:23","Hard","Gilles Simon","R",-0.45365004630482,"QF",-0.469277583149708,-0.817776026225951,-0.137623909420615,-0.191410579034535,-0.367840632398396,0.131294912999565,-0.13283168399001,-0.646436154164294,-0.126177152489255,0,-0.541610885465357,-1.33290659225165,-2.51998362014828,-2.35603889620238,-1.64880330155706,-0.487805259208227,0.00138233831264201,-2.69577036173801,-1.7358487508642
"Valencia","2015-573:19","Hard","Guillermo Garcia Lopez","R",-0.393327136562521,"R16",0.17741381724947,1.62625679577593,-0.387252981161953,-1.12427279819819,-1.01569570273746,-0.0115145566282022,-0.865200968691684,0.319544216645497,0.336746279527139,1,0.390569405831404,0.952927754208735,-0.653233794647883,-1.62864952211504,-0.818032245526679,1.13046194960457,-1.36160323795238,-0.975150741191563,-1.21593779449965
"Barcelona","2015-425:22","Clay","Juan Monaco","R",-0.338488127705885,"R32",-0.630950433249503,-0.00309841889199019,0.218989050209869,0.686577391943026,-0.151888942285375,-0.72556190476704,0.355414505811107,0.319544216645497,1.03113142755173,0,-0.142105046338174,0.299832226648624,0.710929539371637,1.00813695895155,-0.343305927795033,-0.649631980089507,1.36436791457767,0.499666076419673,1.03700968308007
"Australian Open","2015-580:118","Hard","Kevin Anderson","R",-0.45365004630482,"R16",0.17741381724947,-0.00309841889199019,-0.24460779730976,0.247583406454245,0.0640627478276459,-0.439942965511505,0.355414505811107,-0.646436154164294,-0.126177152489255,0,0.656906631916192,-0.0267155371314312,-1.08402221591721,-0.537565460984041,-1.17407698382541,-0.973285421852067,-1.36160323795238,-0.975150741191563,-0.0028122296490307
